ParlaMint-BE_2019-10-03-55-plenair-ip007x.u1	[[Le président:]] La séance est ouverte. De vergadering is geopend.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u73	[[17.03 Nabil Boukili (PVDA-PTB):]] Monsieur le président, madame la ministre, à la suite de l'accord de gouvernement flamand, la Flandre a décidé de se retirer de Unia. Je rappelle qu'Unia est une institution interfédérale qui lutte contre les discriminations et pour l'égalité des chances. Je rappelle également que votre président, M. Wouter Beke, qui a participé aux récentes négociations, déclarait en 2017 que tant que les discriminations et le racisme existeraient, Unia serait indispensable. Que s'est-il passé, madame la ministre? Pourquoi avez-vous changé d'avis? Que se passe-t-il au CD&V? Votre parti n'a-t-il pas des principes clairs sur la façon de lutter contre les discriminations? Y change-t-on d'avis suivant l'attribution des postes de ministre?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u74	[[Le président:]] Monsieur Boukili, permettez-moi de préciser qu'on ne pose pas de questions sur la position d'un parti politique. On pose des questions à un ministre fédéral dans un contexte fédéral. Il faut rester correct.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u75	[[17.04 Nabil Boukili (PVDA-PTB):]] Monsieur le président, je m'étonne seulement de l'attitude du CD&V face à la lutte contre les discriminations. Cela pose question. D'autant plus, madame la ministre, qu'il a fallu sept ans de débats et de réflexions entre les entités fédérées pour trouver le meilleur moyen de mener la lutte contre la discrimination, sept ans pour donner naissance à Unia. On a donc estimé que la manière la plus efficace pour lutter contre les discriminations était la création d'une institution interfédérale. Cette institution n'est pas seulement la solution la plus efficace, elle est aussi la moins coûteuse. Je souris quand je vois qu'un parti comme la N-VA, qui a dirigé les négociations et qui a mené toute sa campagne en mettant l'accent sur le gaspillage de l'argent public, nous pond, aujourd'hui, dans le cadre d'un accord de gouvernement, une proposition qui coûtera plus cher aux contribuables, sans parler du schmilblick que cela engendrera pour les citoyens. En effet, si un citoyen flamand bruxellois subit des discriminations, vers qui devra-t-il se tourner? Si un francophone en chaise roulante prend un bus De Lijn et subit une discrimination, vers qui doit-il se tourner? Madame la ministre, si un Wallon est victime de racisme en Flandre, à qui doit-il s'adresser? Madame la ministre, étant donné que vous êtes en charge de l'Égalité des chances et de la Lutte contre les discriminations, ne trouvez-vous pas que le choix du gouvernement flamand constitue un frein à ces missions? N'estimez-vous pas qu'il va nuire à votre tâche et à vos compétences ministérielles?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u76	[[De voorzitter:]] Collega's, ik geef het woord aan de minister, maar niet zonder te preciseren dat wij niet in een spelletje zullen vervallen waarbij men van hieruit commentaar geeft op wat er in het Vlaams Parlement gebeurt, en vice versa. Dat kan ons zeer ver leiden. Ik zou minister Muylle willen vragen om strikt te antwoorden binnen haar bevoegdheden als federaal minister. Ik zou u ook allemaal willen uitnodigen om deze spelletjes in de toekomst te staken. Het zijn politieke spelletjes die echter niets te maken hebben met het vragenuurtje in een context van lopende zaken. Mijnheer Hedebouw, u bent hier in het Parlement. Ik zit dat Parlement voor. Ik geef eerst het woord aan de minister. Nadien mag u zelf uitmaken of u hierop nog wilt repliceren.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u77	[[17.05 Minister Nathalie Muylle:]] Mijnheer de voorzitter, ik sta hier als nieuw federaal minister voor Gelijke Kansen. Volgens mij weet iedereen dat Unia in maart 2014 via een samenwerkingsakkoord werd opgericht en volledig onafhankelijk werkt, overeenkomstig de Principes van Parijs. Laat mij heel duidelijk zijn: voor slachtoffers van racisme en discriminatie vervult Unia een belangrijke rol, zeker in het kader van het mandaat om te bemiddelen en het kan ook namens de slachtoffers in rechte optreden. En ce qui concerne le retrait futur de la Flandre, les modalités de résiliation de l'accord de coopération sont déterminées par l'article 17. Cet accord est conclu pour un délai de trois ans et est prolongé par reconduction tacite pour une nouvelle période de trois ans. Au terme de chaque période de trois ans, chaque partie peut résilier cet accord par une notification aux présidents des Parlements de tous les niveaux six mois avant l'échéance de la période de trois ans concernée. Dit betekent dat deze periode inderdaad gepasseerd is. Dat betekent dat uiterlijk op 15 september 2022 kennis moet worden gegeven van het voornemen om zich terug te trekken uit het samenwerkingsakkoord. In de feiten betekent dit dat men dit pas kan doen op het einde van de volgende cyclus, zijnde 15 maart 2023. Als nieuwe federale minister hoop ik de komende drie jaar goed samen te werken. Ik hoop dan ook dat men vanuit de Vlaamse regering dit op een actieve en positieve manier zal doen en dat men zal blijven deelnemen aan de samenwerking. Er waren ook vragen met betrekking tot financiering. Des questions ont été posées sur les sources financières d'Unia. En 2018, la Région flamande a contribué au fonctionnement d'Unia à hauteur de seulement 10 % de son budget total. Quatre-vingts pour cent de son budget sont financés par l'État fédéral. Het is voor mij heel duidelijk dat wij de strijd moeten voortzetten. Het is hierbij ook belangrijk dat met de oprichting van een federaal mensenrechteninstituut voorzien wordt in zowel algemene als residuaire federale bevoegdheden, zonder dat daarbij afbreuk wordt gedaan aan de bevoegdheden die reeds aan andere instanties werden toegewezen. Ik ben er wel over verheugd dat ook de Vlaamse regering er zich toe verbindt zich in te schakelen in het interfederaal mensenrechtenmechanisme, zodat het conform de Principes van Parijs een A-status kan behalen. Collega's, laat ik heel duidelijk zijn. De strijd tegen discriminatie en racisme moet voor mij als nieuwe minister bevoegd voor gelijke kansen een prioriteit blijven. Ik hoop dat met alle niveaus op een constructieve manier kan worden samengewerkt. Het kan voor mij immers niet dat burgers en slachtoffers door institutionele veranderingen de weg kwijtraken. Hopelijk kunnen wij niet alleen met alle regeringen, maar ook met alle instanties voor gelijkheid en mensenrechteninstellingen de komende jaren blijven voortwerken.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u78	[[17.06 Sophie Rohonyi (DéFI):]] Madame la ministre, je vous remercie pour votre réponse. J'entends que vous comptez considérer l'égalité des chances comme une priorité. C'est très bien. D'ailleurs, c'est quand même votre compétence et votre rôle. Je n'en demeure pas moins inquiète, puisque c'est précisément ce qui avait été aussi annoncé par vos prédécesseurs, disant qu'ils mettraient le doigt sur cette politique. Je regrette vraiment, dans la décision qui a été prise par le gouvernement régional flamand, que l'on poursuive en quelque sorte, sans aucune concertation ni avec le fédéral ni avec les entités fédérées, un processus qui avait été amorcé en 2013 avec la scission du Centre pour l'égalité des chances et la lutte contre le racisme entre, d'une part, Unia et, d'autre part, Myria. Ces deux centres, malgré le fait qu'ils n'avaient déjà rien demandé à l'époque, ont toujours travaillé avec un grand professionnalisme dans des dossiers difficiles, face à une montée des discours haineux et racistes importante. Ils ont donc aussi connu une augmentation sensible du nombre de dossiers. Ce qui m'inquiète, c'est qu'en perturbant le bon fonctionnement d'Unia, en niant la plus-value qu'il apporte par rapport à ce type de dossiers, on va mettre à mal l'efficacité de la lutte contre les discriminations. Or, la politique d'égalité des chances, pour être correcte, doit faire primer l'efficacité sur les revendications identitaires ou politiciennes de certains. Elle doit faire primer ce qui rassemble et non ce qui divise. Je vous invite, dans l'exercice de vos nouvelles fonctions, à y être très attentive.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u79	[[De voorzitter:]] Mevrouw Soors, u hebt het woord voor een korte repliek. U hebt al lang gesproken. Replieken zijn geen betogen. Het zijn antwoorden op wat de minister heeft gezegd.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u80	[[17.07 Jessika Soors (Ecolo-Groen):]] Mevrouw de minister, ik ben heel tevreden dat u zich meteen hebt willen uitspreken over de opzeggingstermijn. Ik kan samen met u concluderen dat dat daadwerkelijk betekent dat er aan de werking van Unia niets kan en niets mag veranderen tot maart 2023. De strijd is te belangrijk om ze alleen te beperken tot goede intenties. Ook dat heb ik in uw antwoord gehoord. De voorbeelden, die de collega van PVDA ook aanhaalde, zijn voor ons zeer belangrijk. Wat zullen we doen met een vrouw met een donkere huidskleur uit Vlaanderen die in Brussel een huurappartement geweigerd wordt? Wat zullen we doen met een man die op een bus van De Lijn in Brussel de toegang tot de bus wordt ontzegd wegens een visuele handicap? Het zijn geen alleenstaande gevallen. Dat is een dagelijkse realiteit, die Belgen in ons land meemaken. De polemiek rond het thema, de aantallen dossiers bij Unia bewijzen dat de problemen van racisme en discriminatie in ons land alleen maar zijn toegenomen. Ik roep alle democratische partijen hier aanwezig ertoe op om samen met ons bondgenoot te zijn. Dank u, mevrouw de minister.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u81	[[17.08 Nabil Boukili (PVDA-PTB):]] Madame la ministre, je vois que le débat excite quelque peu la salle! Votre réponse m'inquiète. Vous promettez de lutter contre les discriminations, tout en commençant par vous mettre des bâtons dans les roues, puisque vous justifiez la position adoptée par le gouvernement flamand. Madame la ministre, je tiens à vous rappeler que les discriminations n'ont pas de frontières. De même, la lutte contre celles-ci ne doit pas en connaître. Vous êtes chargée de cette tâche pour tous les Belges, peu importent leurs origines – qu'ils soient flamands, wallons ou bruxellois. On ne peut donc instaurer de différences dans la manière de combattre les discriminations. Madame la ministre, vous me rappelez ce médecin peu inspiré qui, pour guérir un fiévreux, au lieu de s'attaquer au mal, préfère casser le thermomètre. Vous suivez la même méthode: au lieu de résoudre les problèmes, vous réagissez en optant pour des moyens encore plus nuisibles et plus graves pour l'ensemble des Belges.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u82	[[Le président:]] Monsieur Hedebouw, vous voulez intervenir à propos du Règlement?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u83	[[17.09 Raoul Hedebouw (PVDA-PTB):]] Monsieur le président, j'aimerais qu'on ne pratique pas le deux poids deux mesures à la Chambre. Renvoyer à des citations politiques que M. Beke, en l'occurrence, a prononcées jadis me paraît tout à fait adéquat au débat de ce jour. Si l'on commence à limiter le temps de parole parce que quelqu'un se réfère à des propos extérieurs au Parlement, on ne va plus s'en sortir. J'entends bien que c'est un député PTB qui vient de s'exprimer, mais la ficelle est un peu grosse, monsieur le président.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u84	[[De voorzitter:]] Mijnheer Hedebouw, laat ik nog eens heel duidelijk zijn. Het gaat hier niet over wat bepaalde politici in het verleden hebben gezegd. Het gaat hier over het feit dat wij in de federale Kamer niet in een spel terechtkomen, waarbij eenieder commentaar geeft, vandaag op de Vlaamse regering en morgen op de Brusselse of de Waalse regering. Dat doen wij niet. Wij zullen hier vragen stellen aan leden van de regering over hun bevoegdheden. Bovendien doen wij dat op het ogenblik binnen de context van lopende zaken. Voor de rest heb ik dat inderdaad een politiek spel genoemd en is mevrouw Muylle als federaal minister niet gehouden om hier te antwoorden op iets wat in de Vlaamse regering zou zijn beslist. Weet u dat het Vlaams Parlement vroeger nogal vrij ziek was in dat bedje en dat men daar constant commentaar gaf op wat in een andere assemblee gebeurde? Laten wij ons bezighouden met de eigen bevoegdheden, dan hebben we al meer dan genoeg werk. Monsieur Boukili, je vous félicite pour votre maiden speech.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u85	Mevrouw Depraetere, ik geef u het woord voor uw maidenspeech.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u86	[[18.01 Melissa Depraetere (sp.a):]] Mijnheer de voorzitter, mevrouw de minister, twee weken geleden werden wij geconfronteerd met het verontrustende nieuws over het faillissement van Thomas Cook. Ik vroeg toen aan uw voorganger, minister Beke, wat dat precies betekende voor ons land, wat de impact zou zijn en wat er nu net aan de hand was. Hij zei toen dat heel wat reizen waren geannuleerd, dat heel wat reizigers vastzaten in het buitenland, dat dit niet fijn was voor de consument, maar dat de werknemers zich niet al te veel zorgen hoefden te maken. Hij zei dat omdat de Belgische poot wel winstgevend was. Het enige dat de Belgische poot eigenlijk moest doen, was op zoek gaan naar 5 miljoen euro. Dat is ook hetgeen de directie tot vorig weekend heeft gedaan. Vandaag vernemen wij echter dat die 5 miljoen euro gewoon werd doorgesluisd naar de bodemloze put van het failliete Britse bedrijf. Dat geld is gewoon weg. Dat is echt absurd. Mevrouw de minister, ik denk dat u niet kunt ontkennen dat dit heel absurd is. Twee weken geleden werd hier in het Parlement nog gezegd dat wij ons niet te veel zorgen moesten maken en een paar dagen later horen wij dat de reizigers die extra kosten maakten in het buitenland, hun geld waarschijnlijk niet terug gaan krijgen. Vandaag horen wij dat ook het bedrijf hier in België failliet is en dat daardoor 500 werknemers op straat staan. Mevrouw de minister, niet alleen de werknemers, reizigers en curatoren stellen zich daarbij terecht veel vragen. Ook ik wil u daarover graag een paar vragen stellen. Uw voorganger zat onmiddellijk na de aankondiging van het faillissement samen met de directie. Is de 5 miljoen euro waarover vandaag sprake is, daar aan bod gekomen? Waren uw diensten daarvan op de hoogte? Hoe kan het dat er een paar dagen geleden wel nog geld was en vandaag niet meer? Wat heeft uw voorganger gedaan om zo'n belangrijk dossier in goede banen te leiden? Wat gaat u als nieuwe minister doen om de onzekerheid bij het personeel weg te nemen?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u87	[[18.02 Leen Dierick (CD&V):]] Mevrouw de minister, het is nog even wennen maar in elk geval van harte gefeliciteerd met uw schitterende mandaat. Ik ben ervan overtuigd dat we heel goed zullen kunnen samenwerken in de commissie voor Economie. Er komen immers heel wat belangrijke dossiers op u af, onder andere dat van Thomas Cook. Wij hebben hierover vorige week nog een discussie gehad. Bij die gelegenheid heb ik nog mijn hoop uitgesproken op een goede afloop voor de 600 medewerkers van Thomas Cook België. Helaas is intussen het faillissement uitgesproken. Een faillissement is niet alleen erg voor de medewerkers, het treft ook hun hele familie. Het wordt zelfs dubbel zo erg als plots blijkt dat er geld uit de kas is verdwenen. Nu blijkt immers dat 5 à 6 miljoen euro van Thomas Cook België naar het Verenigd Koninkrijk is versluisd, geld dat broodnodig was om te zorgen voor een goede doorstart hier in België. Mevrouw de minister, dat is schrijnend. Het geld van een goed werkend bedrijf wordt opgebruikt om de put van een slecht werkend bedrijf te dempen. Dat heeft als gevolg dat de medewerkers van dat goed werkend bedrijf op straat komen te staan. Hoe moeten die mensen, die hard gewerkt hebben en nu op straat komen te staan, zich eigenlijk voelen? Het is een mokerslag voor alle Belgische medewerkers van Thomas Cook die ook een aantal vragen doet rijzen. Mevrouw de minister, vorige week was er op het kabinet nog overleg, met uw voorganger. Waren er toen al indicaties dat er zo'n systeem van cash pooling was en dat er mogelijk geld naar het Verenigd Koninkrijk zou worden versluisd? Had men dat niet kunnen vermijden? De curatoren nemen nu Thomas Cook België in handen. Kunnen zij dat verder onderzoeken, nagaan of alles wettelijk is verlopen en bekijken of dit niet stopgezet kon worden? Nu komen 600 mensen op straat te staan. Zijn er maatregelen die u als minister kunt nemen? Kunt u ten slotte nog een stand van zaken geven met betrekking tot de repatriëringen en de werking van het Garantiefonds?
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u88	[[18.03 Minister Nathalie Muylle:]] Collega's, mijn voorganger heeft tijdens een vorige plenaire vergadering de stand van zaken van het dossier weergegeven. Een nieuw spijtig gegeven is dat sindsdien Thomas Cook Retail Belgium failliet is en dat meer dan 500 werknemers hun ontslag kregen. Er is inderdaad een ontmoeting geweest met de directie van Thomas Cook België, maar die vond plaats voorafgaand aan het faillissement. Zij heeft toen verklaard dat zij nog aan het onderzoeken was of zij nog liquiditeiten kon verkrijgen, daar bepaalde rekeningen geblokkeerd waren. Laat ik heel duidelijk zijn, op geen enkel moment werd het cash pool-systeem van de Thomas Cook-groep in detail toegelicht. Nooit is gezegd dat bepaalde liquiditeiten verdwenen waren. De ondernemingsrechtbank heeft in die zaak curatoren aangesteld om het faillissement verder af te handelen. Het komt dan ook de curatoren toe de nodige onderzoeken te doen naar wat er met de diverse activa gebeurd is en daar het nodige verslag van uit te brengen aan de rechtbank, eventueel ook van de strafrechtelijke feiten die aan het licht zouden komen. Ik vind dit een zeer pijnlijke zaak indien de berichtgeving klopt, vooral voor de 500 medewerkers. Ik hoop dan ook heel oprecht dat de curatoren dit grondig zullen bekijken en dat zij heel snel duidelijkheid kunnen geven. Wat de stand van zaken bij het Garantiefonds betreft, zoals mijn voorganger al zei wordt de klemtoon nu volop gelegd op de repatriëring van alle reizigers. Nog 756 mensen moeten gerepatrieerd worden. Dat zal gebeuren tussen vandaag en zondag. Dan zou iedereen gerepatrieerd moeten zijn. De curatoren hebben vorige week donderdag beslist om alle geboekte reizen te annuleren. Vandaag zijn er 18 000 claims ingediend bij het Garantiefonds. Men begint hier nu werk van te maken. Eens de repatriëringen achter de rug zijn, begint men de dossiers af te handelen. Er waren nog een aantal onduidelijkheden over dossiers waarbij mensen hadden betaald met een kredietkaart. De vraag was of de afhandeling moest verlopen via de bankinstellingen, dan wel het Garantiefonds. Mevrouw Depraetere, aangezien sommige reizigers ter plaatse moesten betalen, ook al was hun hotel betaald – we kennen die verhalen – zal het Garantiefonds onderzoeken of de bedragen kunnen worden verrekend in de vergoedingen die nog moeten worden betaald aan de betrokken hotels. Mocht dat niet kunnen, is men eveneens aan het onderzoeken of het voor een compensatie kan zorgen voor de reizigers die ter plaatse nog hebben betaald.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u89	[[18.04 Melissa Depraetere (sp.a):]] Mevrouw de minister, dank u wel voor uw antwoord. Ik hoor u zeggen dat men geen weet had van het cash-poolsysteem. Sta mij toe dat toch erg problematisch te vinden. De crisis barstte twee weken geleden los en tot vandaag wist men blijkbaar niet van het bestaan af van dat systeem. U zei ook dat de curatoren en het Garantiefonds momenteel uitzoeken wat er kan gebeuren. Dat is goed, maar ik stel toch voor om zeer snel met de directie en het personeel samen te zitten om te kijken hoe de onzekerheid bij zowel de reizigers als de werknemers kan worden weggenomen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u90	[[18.05 Leen Dierick (CD&V):]] Mevrouw de minister, bedankt voor uw uitgebreid antwoord en de verduidelijking, want omtrent de cash pool was er vorige week namelijk nog geen enkel signaal; dat was nog niet bekend. Als het effectief klopt dat er 5 tot 6 miljoen euro versluisd is, dan moet dat grondig onderzocht worden. Wij kijken in dat verband uit naar het werk dat de curatoren en de rechtbank zullen uitvoeren. Voor het overige wil ik mijn steun betuigen aan alle medewerkers van Thomas Cook die dit meemaken. Ik wil de medewerkers van het Garantiefonds bedanken voor alle inspanningen die zij leveren voor de repatriëringen en de uitbetalingen in de verschillende dossiers.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u91	[[De voorzitter:]] Hiermee is het vragenuurtje beëindigd.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u92	La séance plenière du 19 septembre 2019 a procédé à la nomination des 5 membres effectifs de la délégation de la Chambre à l’Assemblée parlementaire de l’OSCE. De plenaire vergadering van 19 september 2019 is overgegaan tot de benoeming van de 5 vaste leden van de afvaardiging van de Kamer bij de Parlementaire Assemblee van de OVSE. Aujourd’hui, nous procédons à la nomination des 5 membres suppléants de cette délégation. Vandaag gaan wij over tot de benoeming van de 5 plaatsvervangende leden van deze afvaardiging. La séance plénière du 26 septembre 2019 a décidé d’attribuer les fonctions de suppléant aux groupes politiques de la Chambre avec un quotient électoral entre 6 et 10. De plenaire vergadering van 26 september 2019 heeft beslist de plaatsen van plaatsvervanger toe te kennen aan de fracties van de Kamer met het zesde tot het tiende kiesquotiënt. Les présidents de groupe m’ont fait parvenir le nom de leurs candidats. De fractievoorzitters hebben mij de namen van hun kandidaten medegedeeld. N-VA: Joy Donné CD&V: Nawal Farih PVDA-PTB: Nadia Moscufo Open Vld: Goedele Liekens Ecolo-Groen: Georges Gilkinet Étant donné que le nombre de candidatures recevables correspond au nombre de places à conférer, il n'y a pas lieu à scrutin conformément à l'article 157, n° 6 du Règlement. Daar het aantal ontvankelijke kandidaturen overeenstemt met het aantal te begeven plaatsen, moet, overeenkomstig artikel 157, nr. 6, van het Reglement, niet gestemd worden. En conséquence, je proclame élus les candidats présentés. Dienvolgens verklaar ik de voorgedragen kandidaten verkozen.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u93	Vous avez pris connaissance dans l'ordre du jour qui vous a été distribué de la liste des propositions dont la prise en considération est demandée. In de laatst rondgedeelde agenda komt een lijst van voorstellen voor waarvan de inoverwegingneming is gevraagd. Une liste complémentaire de propositions dont la prise en considération est demandée a été communiquée à la Conférence des Présidents. Cette liste sera également reprise en annexe du Compte Rendu Intégral. Aan de Conferentie van voorzitters werd een bijkomende lijst van voorstellen medegedeeld waarvan de inoverwegingneming is gevraagd. Deze lijst zal eveneens in de bijlage bij het Integraal Verslag worden opgenomen. S'il n'y a pas d'observations à ce sujet, je considérerai la prise en considération comme acquise. Je renvoie les propositions aux commissions compétentes conformément au Règlement. Indien er geen bezwaar is, beschouw ik deze als aangenomen. Overeenkomstig het Reglement worden die voorstellen naar de bevoegde commissies verzonden. Pas d'observation? [[(Non)]] Il en sera ainsi. Geen bezwaar? [[(Nee)]] Aldus wordt besloten.
ParlaMint-BE_2019-10-03-55-plenair-ip007x.u94	Nous devons procéder à l’approbation de l’ordre du jour de la séance de la semaine prochaine. Wij moeten overgaan tot de goedkeuring van de agenda voor de vergadering van volgende week. Ik deel u mee dat wij volgende week dinsdag van rechtswege bijeenkomen conform de Grondwet. In de Conferentie van de voorzitters hebben wij beslist om volgende week alleen op dinsdag samen te komen. Wij zullen de agenda van dinsdag dan ook aanvullen met het vragenuurtje en andere zaken die kunnen besproken worden. Pas d’observation? [[(Non)]] L’ordre du jour est approuvé. Geen bezwaar? [[(Nee)]] De agenda is goedgekeurd. De vergadering wordt gesloten. Volgende vergadering dinsdag 8 oktober 2019 om 14.15 uur. La séance est levée. Prochaine séance le mardi 8 octobre 2019 à 14 h 15.
